### data is from 
### "Water activity in food processing and preservation"
### Bhesh R.Bhandari and Benu P. Adhikari
### in
### "Drying Technologies in Food Processing"
### Xiao Dong Chen, Arun S. Mujumdar, eds.
### John Wiley & Sons Ltd,, West Sussex, UK, 2008
### pages 55-89
### Table 2.19, page 81
### 
### Likely a parameterized model of unknown origin
### 
###
### Activity (aH2O) of water in sulfuric acid
### FDensity is value at 25 degC
### w is percent mass H2SO4 
### Note: a_H2O is "apparent mole fraction of water" (fractional vapour pressure of water, px/p0)
###
### Conc. ##                     TEMPERATURE                            ##
 "w", "density", "5C",  "10C",  "20C",  "25C",  "30C", "40C",  "50C"

5.00,  1.0300, 0.9803, 0.9804, 0.9806, 0.9807, 0.9808, 0.9811, 0.9814
10.00, 1.0640, 0.9554, 0.9555, 0.9558, 0.9560, 0.9562, 0.9565, 0.9570
15.00, 1.0994, 0.9227, 0.9230, 0.9237, 0.9241, 0.9245, 0.9253, 0.9261
20.00, 1.1365, 0.8771, 0.8779, 0.8796, 0.8805, 0.8814, 0.8831, 0.8848
25.00, 1.1750, 0.8165, 0.8183, 0.8218, 0.8235, 0.8252, 0.8285, 0.8317
30.00, 1.2150, 0.7396, 0.7429, 0.7491, 0.7521, 0.7549, 0.7604, 0.7655
35.00, 1.2563, 0.6464, 0.6514, 0.6607, 0.6651, 0.6693, 0.6773, 0.6846
40.00, 1.2991, 0.5417, 0.5480, 0.5599, 0.5656, 0.5711, 0.5816, 0.5914
45.00, 1.3437, 0.4319, 0.4389, 0.4524, 0.4589, 0.4653, 0.4775, 0.4891
50.00, 1.3911, 0.3238, 0.3307, 0.3442, 0.3509, 0.3574, 0.3702, 0.3827
55.00, 1.4412, 0.2255, 0.2317, 0.2440, 0.2502, 0.2563, 0.2685, 0.2807
60.00, 1.4940, 0.1420, 0.1471, 0.1573, 0.1625, 0.1677, 0.1781, 0.1887
65.00, 1.5490, 0.0785, 0.0821, 0.0895, 0.0933, 0.0972, 0.1052, 0.1135
70.00, 1.6059, 0.0355, 0.0377, 0.0422, 0.0445, 0.0470, 0.0521, 0.0575
75.00, 1.6644, 0.0131, 0.0142, 0.0165, 0.0177, 0.0190, 0.0218, 0.0249
80.00, 1.7221, 0.0035, 0.0039, 0.0048, 0.0053, 0.0059, 0.0071, 0.0085
