# Activity Data for H2SO4/H2O Mixtures
# from "A Review of the Osmotic Coefficients of Aqueous H2S04 at 25 °C"
# Joseph A. Rard, Anton Habenschuss, and Frank H. Speddlng
# Journal of Chemical and Engineering Data, Vol. 21, No. 3, 1976, 374-379
# DOI: 10.1021/je60070a002
# # rard-et-al-2002-a-review-of-the-osmotic-coefficients-of-aqueous-sulfuric-acid-at-25-degree-c.pdf
# See Table IV in the paper
#
# conc H2SO4 is in molal - moles per kg of water
# theta is the osmotic coefficient
# aH2O is the activity of water expressed as the apparent mole fraction (by vapour pressure)
# gamma_H2SO4 is the activity coefficient of sulfuric acid
#
"conc H2SO4 / m", "theta", "aH2O",   "gamma_H2SO4"
0.1,     0.6796,    0.99633,   0.2468
0.2,     0.6652,    0.99284,   0.1937
0.3,     0.6649,    0.98928,   0.1690
0.4,     0.6690,    0.98564,   0.1542
0.5,     0.6751,    0.98192,   0.1442
0.6,     0.6824,    0.97811,   0.1370
0.7,     0.6906,    0.97421,   0.1316
0.8,     0.6995,    0.97021,   0.1274
0.9,     0.7090,    0.96610,   0.1243
1.0,     0.7191,    0.96188,   0.1218
1.2,     0.7408,    0.95309,   0.1185
1.4,     0.7643,    0.94381,   0.1167
1.6,     0.7894,    0.93401,   0.1162
1.8,     0.8159,    0.92370,   0.1166
2.0,     0.8435,    0.91286,   0.1177
2.2,     0.8720,    0.9015,    0.1195
2.4,     0.9013,    0.8897,    0.1218
2.6,     0.9313,    0.8773,    0.1247
2.8,     0.9617,    0.8646,    0.1280
3.0,     0.9925,    0.8514,    0.1318
3.2,     1.0236,    0.8378,    0.1360
3.4,     1.0548,    0.8238,    0.1407
3.6,     1.0860,    0.8095,    0.1457
3.8,     1.1173,    0.7950,    0.1512
4.0,     1.1484,    0.7801,    0.1570
4.5,     1.2255,    0.7423,    0.1734
5.0,     1.3009,    0.7036,    0.1922
5.5,     1.3738,    0.6647,    0.2135
6.0,     1.4440,    0.6261,    0.237
6.5,     1.5111,    0.5881,    0.264
7.0,     1.5749,    0.5511,    0.293
7.5,     1.6353,    0.5154,    0.324
8.0,     1.6923,    0.4811,    0.358
8.5,     1.7460,    0.4484,    0.395
9.0,     1.7962,    0.4174,    0.434
9.5,     1.8433,    0.3881,    0.475
10.0,    1.8872,    0.3606,    0.519
10.5,    1.9281,    0.3348,    0.565
11.0,    1.9662,    0.3107,    0.613
11.5,    2.0016,    0.2882,    0.664
12.0,    2.0345,    0.2673,    0.717
12.5,    2.0650,    0.2478,    0.771
13.0,    2.0933,    0.2298,    0.828
13.5,    2.1196,    0.2130,    0.886
14.0,    2.1440,    0.1975,    0.946
14.5,    2.1667,    0.1831,    1.008
15.0,    2.1878,    0.1697,    1.071
15.5,    2.2076,    0.1573,    1.136
16.0,    2.2260,    0.1459,    1.203
16.5,    2.2433,    0.1353,    1.271
17.0,    2.2595,    0.1254,    1.341
17.5,    2.2748,    0.1163,    1.413
18.0,    2.2893,    0.1078,    1.486
18.5,    2.3029,    0.1000,    1.561
19.0,    2.3159,    0.0927,    1.638
19.5,    2.3282,    0.0860,    1.716
20.0,    2.3400,    0.0797,    1.796
21.0,    2.3618,    0.0685,    1.960
22.0,    2.3814,    0.0589,    2.131
23.0,    2.3987,    0.0507,    2.306
24.0,    2.4134,    0.0437,    2.485
25.0,    2.4249,    0.0378,    2.664
26.0,    2.4326,    0.0328,    2.839
27.0,    2.4353,    0.0286,    3.005
