,m,aH2O
0,0.1,0.99633
1,0.2,0.99284
2,0.3,0.98928
3,0.4,0.98564
4,0.5,0.98192
5,0.6,0.97811
6,0.7,0.97421
7,0.8,0.97021
8,0.9,0.9661
9,1.0,0.9622
10,1.0,0.96188
11,1.2,0.95309
12,1.4,0.94381
13,1.6,0.93401
14,1.8,0.9237
15,2.0,0.913
16,2.0,0.91286
17,2.2,0.9015
18,2.4,0.8897
19,2.6,0.8773
20,2.8,0.8646
21,3.0,0.8514
22,3.0,0.8514
23,3.2,0.8378
24,3.4,0.8238
25,3.6,0.8095
26,3.8,0.795
27,4.0,0.78
28,4.0,0.7801
29,4.5,0.7423
30,5.0,0.7035
31,5.0,0.7036
32,5.5,0.6647
33,6.0,0.6257
34,6.0,0.6261
35,6.5,0.5881
36,7.0,0.5511
37,7.0,0.5503
38,7.5,0.5154
39,8.0,0.4806
40,8.0,0.4811
41,8.5,0.4484
42,9.0,0.4174
43,9.0,0.4175
44,9.5,0.3881
45,10.0,0.3611
46,10.0,0.3606
47,10.5,0.3348
48,11.0,0.3107
49,11.0,0.3113
50,11.5,0.2882
51,12.0,0.2673
52,12.0,0.2678
53,12.5,0.2478
54,13.0,0.2298
55,13.0,0.2303
56,13.5,0.213
57,14.0,0.198
58,14.0,0.1975
59,14.5,0.1831
60,15.0,0.1697
61,15.0,0.1701
62,15.5,0.1573
63,16.0,0.1462
64,16.0,0.1459
65,16.5,0.1353
66,17.0,0.1255
67,17.0,0.1254
68,17.5,0.1163
69,18.0,0.1078
70,18.0,0.1077
71,18.5,0.1
72,19.0,0.09233
73,19.0,0.0927
74,19.5,0.086
75,20.0,0.07929
76,20.0,0.0797
77,21.0,0.0685
78,22.0,0.0589
79,23.0,0.0507
80,24.0,0.0437
81,25.0,0.03799
82,25.0,0.0378
83,26.0,0.0328
84,27.0,0.0286
85,30.0,0.01937
86,35.0,0.01042
87,40.0,0.0059
88,45.0,0.00353
89,50.0,0.00223
90,60.0,0.00105
91,70.0,0.00058
92,80.0,0.000361
93,90.0,0.000247
94,100.0,0.000179
95,200.0,3.2e-05
96,300.0,1.38e-05
97,400.0,7.87e-06
98,500.0,5.2e-06
99,1000.0,1.5e-06
100,1000000000.0,1.56e-09
