### Data for hydrolysis of ethyl acetate from
### "The Hydrolysis of Ethyl Acetate in Concentrated Aqueous Sulphuric Acid." 
### D. Jaques, J. Chem. Soc. 1965, 3854–3904. https://doi.org/10.1039/JR9650003854.
### jr9650003854.pdf
### and "The Kinetics of Ester Hydrolysis in Concentrated Aqueous Acids." 
### R.P. Bell, A.L. Dowding, J.A. Noble, J. Chem. Soc. 1955, 3106–3110. https://doi.org/10.1039/JR9550003106.
### jr9550003106.pdf
### and "The Possibility of a Cyclic Mechanism for Acid-Catalyzed Ester Hydrolysis."
### C.A. Lane, M.F. Cheung, G.F. Dorsey, J. Am. Chem. Soc. 1968, 90, 6492–6494. https://doi.org/10.1021/ja01025a046.
### cheung-et-al-2002-the-possibility-of-a-cyclic-mechanism-for-acid-catalyzed-ester-hydrolysis.pdf
###
###
### rates of hydrolysis of ethyl acetate
### in various sulfuric acid mixtures
###
### Temp = 25.0 deg C (approx)
### kobs units are (/ 10-2 min-1)
###
###
### "The Hydrolysis of Ethyl Acetate in Concentrated Aqueous Sulphuric Acid." 
### D. Jaques, J. Chem. Soc. 1965, 3854–3904. https://doi.org/10.1039/JR9650003854.
"%H2SO4",    "10^3 kobs",   "Temp degC"
61.0, 100,   25.6
65.0,  89.1, 25.6
71.4,  37.7, 25.6
75.4,  47.8, 34.6
75.4,  29.4, 25.6
80.2,  3.92, 25.6
84.4,  1.88, 25.6
90.0,  3.05, 25.6
98.4,  21.8, 34.6
98.4,  11.2, 29.4
98.4,  6.56, 25.6
100.0, 7.46, 25.6
