#
# Robin A. Cox
# Excess acidities
# Advances in Physical Organic Chemistry
# Academic Press
# Volume 35
# 2000
# Pages 1-66
# https://doi.org/10.1016/S0065-3160(00)35011-0
# cox2000.pdf
#
# From table 5 of the paper
# Concentration of H2SO4 is in percent wt
# X is the excess acidity
# C_H+ is the concentration of H+ (solvated by water) in mol/L
# aH2O is the activity of water expressed as mol/L
# C_HSO4- is the concentration of HSO4- in mol/L
# C_H2SO4 is the concentration of H2SO4 in mol/L
#
#
"%H2SO4", "X",   "log C_H+", "log aH2O", "log C_HSO4-", "log C_H2SO4"
0.2,      0.004,  -1.534,   1.741,  -1.940,    NaN
0.5,      0.009,  -1.178,   1.739,  -1.449,    NaN
1.0,      0.019,  -0.897,   1.734,  -1.108,    NaN
2.0,      0.038,  -0.609,   1.726,  -0.780,    NaN
3.0,      0.059,  -0.433,   1.717,  -0.596,    NaN
4.0,      0.080,  -0.307,   1.708,  -0.467,    NaN
5.0,      0.103,  -0.206,   1.699,  -0.368,    NaN
7.5,      0.164,  -0.019,   1.677,  -0.192,    NaN
10.0,     0.231,   0.118,   1.654,  -0.066,    NaN
15.0,     0.387,   0.315,   1.603,   0.113,    NaN
20.0,     0.573,   0.461,   1.546,   0.242,    NaN
25.0,     0.790,   0.577,   1.481,   0.346,    NaN
30.0,     1.038,   0.673,   1.406,   0.434,   -7.623
35.0,     1.317,   0.756,   1.317,   0.514,   -7.062
40.0,     1.628,   0.828,   1.213,   0.588,   -6.479
45.0,     1.969,   0.891,   1.088,   0.658,   -5.871
50.0,     2.345,   0.947,   0.939,   0.728,   -5.234
53.0,     2.590,   0.977,   0.834,   0.769,   -4.837
56.0,     2.853,   1.005,   0.716,   0.810,   -4.427
59.0,     3.138,   1.031,   0.581,   0.851,   -4.003
62.0,     3.450,   1.056,   0.427,   0.892,   -3.565
65.0,     3.795,   1.078,   0.250,   0.933,   -3.111
68.0,     4.178,   1.099,   0.045,   0.973,   -2.641
71.0,     4.606,   1.118,  -0.193,   1.012,   -2.156
74.0,     5.080,   1.136,  -0.472,   1.050,   -1.657
77.0,     5.598,   1.151,  -0.800,   1.086,   -1.149
80.0,     6.150,   1.163,  -1.184,   1.117,   -0.641
82.0,     6.528,   1.165,  -1.475,   1.132,   -0.310
84.0,     6.906,   1.160,  -1.792,   1.137,    0.008
86.0,     7.277,   1.140,  -2.134,   1.127,    0.303
88.0,     7.637,   1.098,  -2.492,   1.093,    0.564
90.0,     7.985,   1.024,  -2.854,   1.024,    0.781
92.0,     8.340,   0.919,  -3.197,   0.919,    0.942
94.0,     8.743,   0.800,  -3.504,   0.800,    1.049
95.0,     8.989,   0.743,  -3.646,   0.743,    1.085
96.0,     9.285,   0.684,  -3.796,   0.684,    1.117
97.0,     9.656,   0.604,  -3.990,   0.604,    1.149
98.0,    10.132,   0.462,  -4.303,   0.462,    1.187
99.0,    10.754,   0.150,  -4.894,   0.150,    1.232
99.5,    11.136,  -0.171,  -5.421,  -0.171,    1.252
