### Data from "Proposed Theoretical Water Activity Values at Various Temperatures for 
###   Selected Solutions to be Used as Reference Sources in the Range of Microbial Growth"
### Resnik, Silvia L.; Chirife, Jorge 
### Journal of Food Protection, 1988, 51 (5), 419 - 423
### https://doi.org/10.4315/0362-028X-51.5.419
###
### 
### This data was referenced from another source... 
### "Sulfuric acid solutions as reference sources of water activity at various temperatures."
### Resnik, S. L., J. Chirife, and C. Ferro Fontan. 1985.  Z.F.L. 6:428-432.
### I cannot find this reference anywhere. Does it exist? Is it a database reference? What is "Z.F.L."?
###
### Activity (aH2O) of water in sulfuric acid
###
### w is percent mass H2SO4 
### Note: a_H2O is "apparent mole fraction of water" (fractional vapour pressure of water, px/p0)
###
### Conc. ##                     TEMPERATURE                                               ##
 "w",   "0C",  "5C",  "10C", "15C", "20C", "25C", "30C", "35C", "40C", "45C", "50C", "55C"
0.50,   0.998, 0.998, 0.998, 0.998, 0.998, 0.998, 0.998, 0.998, 0.998, 0.998, 0.998, 0.998
1.00,   0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996
1.50,   0.994, 0.994, 0.994, 0.994, 0.994, 0.994, 0.995, 0.995, 0.995, 0.995, 0.995, 0.995
2.00,   0.992, 0.992, 0.992, 0.992, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993, 0.993
2.50,   0.990, 0.990, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991
3.00,   0.988, 0.988, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989, 0.989
3.50,   0.986, 0.986, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987, 0.987
4.00,   0.984, 0.984, 0.984, 0.985, 0.985, 0.985, 0.985, 0.985, 0.985, 0.985, 0.985, 0.985
4.50,   0.982, 0.982, 0.982, 0.982, 0.982, 0.983, 0.983, 0.983, 0.983, 0.983, 0.983, 0.983
5.00,   0.980, 0.980, 0.980, 0.980, 0.980, 0.980, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981
5.50,   0.978, 0.978, 0.978, 0.978, 0.978, 0.978, 0.978, 0.979, 0.977, 0.979, 0.979, 0.979
6.00,   0.976, 0.976, 0.976, 0.976, 0.976, 0.976, 0.976, 0.976, 0.976, 0.977, 0.977, 0.977
6.50,   0.973, 0.973, 0.973, 0.974, 0.974, 0.974, 0.974, 0.974, 0.974, 0.974, 0.974, 0.975
7.00,   0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.972, 0.972, 0.972, 0.972, 0.972, 0.972
7.50,   0.968, 0.969, 0.969, 0.969, 0.969, 0.969, 0.969, 0.969, 0.969, 0.970, 0.970, 0.970
