# Osmotic Coefficients and Activity Coefficients for Water/H2SO4
#
# "Activity and osmotic coefficients of aqueous sulfuric acid at 298.15 K."
# Bert R. Staples, J. Phys. Chem. Ref. Data, 1981, 10, 779–798. 
# https://doi.org/10.1063/1.555648
#
# Recommended values from Table 42 of that paper
#
# conc H2SO4 is in molal - moles per kg of water
# theta is the osmotic coefficient
# aH2O is the activity of water expressed as the apparent mole fraction (by vapour pressure)
# gamma_H2SO4 is the activity coefficient of sulfuric acid
#
"conc H2SO4 / m", "gamma_H2SO4", "theta", "aH2O"
0.001,    0.8045,     0.9295,     0.999950
0.002,    0.7402,     0.9037,     0.999902
0.003,    0.6962,     0.8851,     0.999857
0.004,    0.6623,     0.8703,     0.999812
0.005,    0.6345,     0.8578,     0.999768
0.006,    0.6110,     0.8469,     0.999725
0.007,    0.5906,     0.8373,     0.999683
0.008,    0.5726,     0.8287,     0.999642
0.009,    0.5566,     0.8209,     0.999601
0.010,    0.5420,     0.8137,     0.999560
0.020,    0.4453,     0.7635,     0.999175
0.030,    0.3902,     0.7332,     0.998812
0.040,    0.3528,     0.7124,     0.998461
0.050,    0.3254,     0.6973,     0.998117
0.060,    0.3041,     0.6859,     0.997778
0.070,    0.2870,     0.6771,     0.997442
0.080,    0.2728,     0.6702,     0.997107
0.090,    0.2609,     0.6647,     0.996772
0.100,    0.2508,     0.6605,     0.996437
0.2,      0.1946,     0.6491,     0.99302
0.3,      0.1700,     0.6547,     0.98944
0.4,      0.1557,     0.6651,     0.98572
0.5,      0.1463,     0.6760,     0.98190
0.6,      0.1395,     0.6864,     0.97799
0.7,      0.1343,     0.6965,     0.97399
0.8,      0.1303,     0.7062,     0.96993
0.9,      0.1272,     0.7158,     0.96578
1.0,      0.1247,     0.7255,     0.96155
1.5,      0.1187,     0.7776,     0.93891
2.0,      0.1195,     0.8400,     0.91320
2.5,      0.1248,     0.9118,     0.88409
3.0,      0.1337,     0.9897,     0.85174
3.5,      0.1456,     1.0707,     0.81666
4.0,      0.1603,     1.1520,     0.77954
4.5,      0.1775,     1.2319,     0.74112
5.0,      0.1973,     1.3090,     0.70207
5.5,      0.2195,     1.3827,     0.66298
6.0,      0.2441,     1.4525,     0.62436
6.5,      0.2711,     1.5185,     0.58658
7.0,      0.3004,     1.5805,     0.54994
7.5,      0.3321,     1.6389,     0.51463
8.0,      0.3662,     1.6936,     0.48081
8.5,      0.4028,     1.7451,     0.44857
9.0,      0.4417,     1.7935,     0.41795
9.5,      0.4832,     1.8390,     0.38899
10.0,     0.5270,     1.8817,     0.36169
10.5,     0.5732,     1.9218,     0.33602
11.0,     0.6218,     1.9593,     0.31197
11.5,     0.6726,     1.9945,     0.28949
12.0,     0.7255,     2.0272,     0.26854
12.5,     0.7805,     2.0576,     0.24906
13.0,     0.8372,     2.0857,     0.23098
13.5,     0.8954,     2.1115,     0.21425
14.0,     0.9550,     2.1351,     0.19878
14.5,     1.0157,     2.1565,     0.18452
15.0,     1.0772,     2.1758,     0.17138
15.5,     1.1393,     2.1930,     0.15928
16.0,     1.1393,     2.2082,     0.14815
16.5,     1.2644,     2.2216,     0.13791
17.0,     1.3271,     2.2334,     0.12848
17.5,     1.3896,     2.2435,     0.11980
18.0,     1.4520,     2.2523,     0.11179
18.5,     1.5143,     2.2599,     0.10440
19.0,     1.5766,     2.2665,     0.09755
19.5,     1.6389,     2.2723,     0.09120
20.0,     1.7015,     2.2775,     0.08529
20.5,     1.7644,     2.2822,     0.07977
21.0,     1.8280,     2.2866,     0.07463
21.5,     1.8924,     2.2909,     0.06981
22.0,     1.9576,     2.2951,     0.06529
22.5,     2.0237,     2.2991,     0.06106
23.0,     2.0906,     2.3030,     0.05711
23.5,     2.1577,     2.3066,     0.05342
24.0,     2.2246,     2.3096,     0.05000
24.5,     2.2902,     2.3116,     0.04685
25.0,     2.3529,     0.3121,     0.04398
25.5,     2.4108,     2.3105,     0.04141
26.0,     2.4612,     2.3057,     0.03916
26.5,     2.5008,     2.3057,     0.03727
27.0,     2.52S7,     2.2827,     0.03576
27.5,     2.5313,     2.2616,     0.03469
