### Data from table 2 of 
###
### "H0 And Related Indicator Acidity Function"
### M. A. Paul and F. A. Long
### Chemical Reviews 1957 57 (1), 1-45
### DOI: 10.1021/cr50013a001
### 
### Temp = 25.0 deg C
### Concentrations in Molar H2SO4 
###
"M_H2SO4",  "H0"
0.1,        0.83
0.25,       0.44
0.5,        0.13
0.75,      -0.07
1.0,       -0.26
1.5,       -0.56
2.0,       -0.84
2.5,       -1.12
3.0,       -1.38
3.5,       -1.62
4.0,       -1.85
4.5,       -2.06
5.0,       -2.28
5.5,       -2.51
6.0,       -2.76
6.5,       -3.03
7.0,       -3.32
7.5,       -3.60
8.0,       -3.87
8.5,       -4.14
9.0,       -4.40
9.5,       -4.65
10.0,      -4.89
