### Data from
### Tables of physical and chemical constants and some mathematical functions 
### originally compiled by G.W.C. Kaye and T.H. Laby ; now prepared under the direction of an editorial committee.
### London ; New York : Longman, 1986. 15th ed.
### Reference section of library	QC61.K3 1986 REF
### Page 222. Section 2.6.3
###
"%H2SO4", "20C"
1.731,    1.010
3.242,    1.020
6.221,    1.040
9.129,    1.060
11.97,    1.080
14.73,    1.100
17.43,    1.120
20.08,    1.140
22.67,    1.160
25.22,    1.180
27.72,    1.200
30.18,    1.220
32.61,    1.240
35.01,    1.260
37.36,    1.280
39.68,    1.300
41.94,    1.320
44.17,    1.340
46.33,    1.360
48.44,    1.380
50.50,    1.400
52.52,    1.420
54.49,    1.440
56.41,    1.460
58.30,    1.480
60.16,    1.500
62.00,    1.520
63.81,    1.540
65.59,    1.560
67.35,    1.580
69.09,    1.600
70.82,    1.620
72.53,    1.640
74.22,    1.660
75.91,    1.680
77.63,    1.700
79.37,    1.720
81.16,    1.740
83.06,    1.760
85.16,    1.780
87.69,    1.800
89.23,    1.810
91.11,    1.820
91.54,    1.822
92.00,    1.824
92.51,    1.826
93.03,    1.828
93.64,    1.830
94.32,    1.832
95.17,    1.834
95.72,    1.835
96.56,    1.836
97.25,    1.8365
98.06,    1.8360
98.38,    1.8355
98.65,    1.8350
98.87,    1.8345
99.04,    1.8340
99.21,    1.8335
99.35,    1.8330
99.50,    1.8325
99.63,    1.8320
99.76,    1.8315
99.88,    1.8310
100,      1.8305
