# From "Perry's Chemical Engineers' Handbook" 7th ed.
#
# Perry's Chemical Engineers Handbook-7th ed.pdf
# page 2-107
# Also available from CRC handbook of chemistry and physics
# https://hbcp-chemnetbase-com.proxy.library.upei.ca/contents/InteractiveTable.xhtml?dswid=3969
# https://hbcp-chemnetbase-com.proxy.library.upei.ca/documents/06_65/06_65_0001.xhtml?dswid=6071
#
# pure water densities also from CRC
#
"%H2SO4", "0C", "10C", "15C",  "20C",    "25C",   "30C",   "40C",   "50C",   "60C",   "80C",   "100C"
0,    NaN,    0.99970, 0.99910, 0.99821, 0.99705, 0.99565, 0.99222, 0.98804, 0.98320, 0.97179, NaN     # from CRC tables for water density
1,   1.0074,  1.0068,  1.0060,  1.0051,  1.0038,  1.0022,  0.9986,  0.9944,  0.9895,  0.9779,  0.9645
2,   1.0147,  1.0138,  1.0129,  1.0118,  1.0104,  1.0087,  1.0050,  1.0006,  0.9956,  0.9839,  0.9705
3,   1.0219,  1.0206,  1.0197,  1.0184,  1.0169,  1.0152,  1.0113,  1.0067,  1.0017,  0.9900,  0.9766
4,   1.0291,  1.0275,  1.0264,  1.0250,  1.0234,  1.0216,  1.0176,  1.0129,  1.0078,  0.9961,  0.9827
5,   1.0364,  1.0344,  1.0332,  1.0317,  1.0300,  1.0281,  1.0240,  1.0192,  1.0140,  1.0022,  0.9888
6,   1.0437,  1.0414,  1.0400,  1.0385,  1.0367,  1.0347,  1.0305,  1.0256,  1.0203,  1.0084,  0.9950
7,   1.0511,  1.0485,  1.0469,  1.0453,  1.0434,  1.0414,  1.0371,  1.0321,  1.0266,  1.0146,  1.0013
8,   1.0585,  1.0556,  1.0539,  1.0522,  1.0502,  1.0481,  1.0437,  1.0386,  1.0330,  1.0209,  1.0076
9,   1.0660,  1.0628,  1.0610,  1.0591,  1.0571,  1.0549,  1.0503,  1.0451,  1.0395,  1.0273,  1.0140
10,  1.0735,  1.0700,  1.0681,  1.0661,  1.0640,  1.0617,  1.0570,  1.0517,  1.0460,  1.0338,  1.0204
11,  1.0810,  1.0773,  1.0753,  1.0731,  1.0710,  1.0686,  1.0637,  1.0584,  1.0526,  1.0403,  1.0269
12,  1.0886,  1.0846,  1.0825,  1.0802,  1.0780,  1.0756,  1.0705,  1.0651,  1.0593,  1.0469,  1.0335
13,  1.0962,  1.0920,  1.0898,  1.0874,  1.0851,  1.0826,  1.0774,  1.0719,  1.0661,  1.0536,  1.0402
14,  1.1039,  1.0994,  1.0971,  1.0947,  1.0922,  1.0897,  1.0844,  1.0788,  1.0729,  1.0603,  1.0469
15,  1.1116,  1.1069,  1.1045,  1.1020,  1.0994,  1.0968,  1.0914,  1.0857,  1.0798,  1.0671,  1.0537
16,  1.1194,  1.1145,  1.1120,  1.1094,  1.1067,  1.1040,  1.0985,  1.0927,  1.0868,  1.0740,  1.0605
17,  1.1272,  1.1221,  1.1195,  1.1168,  1.1141,  1.1113,  1.1057,  1.0998,  1.0938,  1.0809,  1.0674
18,  1.1351,  1.1298,  1.1271,  1.1243,  1.1215,  1.1187,  1.1129,  1.1070,  1.1009,  1.0879,  1.0744
19,  1.1430,  1.1375,  1.1347,  1.1318,  1.1290,  1.1261,  1.1202,  1.1142,  1.1081,  1.0950,  1.0814
20,  1.1510,  1.1453,  1.1424,  1.1394,  1.1365,  1.1335,  1.1275,  1.1215,  1.1153,  1.1021,  1.0885
21,  1.1590,  1.1531,  1.1501,  1.1471,  1.1441,  1.1410,  1.1349,  1.1288,  1.1226,  1.1093,  1.0957
22,  1.1670,  1.1609,  1.1579,  1.1548,  1.1517,  1.1486,  1.1424,  1.1362,  1.1299,  1.1166,  1.1029
23,  1.1751,  1.1688,  1.1657,  1.1626,  1.1594,  1.1563,  1.1500,  1.1437,  1.1373,  1.1239,  1.1102
24,  1.1832,  1.1768,  1.1736,  1.1704,  1.1672,  1.1640,  1.1576,  1.1512,  1.1448,  1.1313,  1.1176
25,  1.1914,  1.1848,  1.1816,  1.1783,  1.1750,  1.1718,  1.1653,  1.1588,  1.1523,  1.1388,  1.1250
26,  1.1996,  1.1929,  1.1896,  1.1862,  1.1829,  1.1796,  1.1730,  1.1665,  1.1599,  1.1463,  1.1325
27,  1.2078,  1.2010,  1.1976,  1.1942,  1.1909,  1.1875,  1.1808,  1.1742,  1.1676,  1.1539,  1.1400
28,  1.2160,  1.2091,  1.2057,  1.2023,  1.1989,  1.1955,  1.1887,  1.1820,  1.1753,  1.1616,  1.1476
29,  1.2243,  1.2173,  1.2138,  1.2104,  1.2069,  1.2035,  1.1966,  1.1898,  1.1831,  1.1693,  1.1553
30,  1.2326,  1.2255,  1.2220,  1.2185,  1.2150,  1.2115,  1.2046,  1.1977,  1.1909,  1.1771,  1.1630
31,  1.2409,  1.2338,  1.2302,  1.2267,  1.2232,  1.2196,  1.2126,  1.2057,  1.1988,  1.1849,  1.1708
32,  1.2493,  1.2421,  1.2385,  1.2349,  1.2314,  1.2278,  1.2207,  1.2137,  1.2068,  1.1928,  1.1787
33,  1.2577,  1.2504,  1.2468,  1.2432,  1.2396,  1.2360,  1.2289,  1.2218,  1.2148,  1.2008,  1.1866
34,  1.2661,  1.2588,  1.2552,  1.2515,  1.2479,  1.2443,  1.2371,  1.2300,  1.2229,  1.2088,  1.1946
35,  1.2746,  1.2672,  1.2636,  1.2599,  1.2563,  1.2526,  1.2454,  1.2383,  1.2311,  1.2169,  1.2027
36,  1.2831,  1.2757,  1.2720,  1.2684,  1.2647,  1.2610,  1.2538,  1.2466,  1.2394,  1.2251,  1.2109
37,  1.2917,  1.2843,  1.2805,  1.2769,  1.2732,  1.2695,  1.2622,  1.2550,  1.2477,  1.2334,  1.2192
38,  1.3004,  1.2929,  1.2891,  1.2855,  1.2818,  1.2780,  1.2707,  1.2635,  1.2561,  1.2418,  1.2276
39,  1.3091,  1.3016,  1.2978,  1.2941,  1.2904,  1.2866,  1.2793,  1.2720,  1.2646,  1.2503,  1.2361
40,  1.3179,  1.3103,  1.3065,  1.3028,  1.2991,  1.2953,  1.2880,  1.2806,  1.2732,  1.2589,  1.2446
41,  1.3268,  1.3191,  1.3153,  1.3116,  1.3079,  1.3041,  1.2967,  1.2893,  1.2819,  1.2675,  1.2532
42,  1.3357,  1.3280,  1.3242,  1.3205,  1.3167,  1.3129,  1.3055,  1.2981,  1.2907,  1.2762,  1.2619
43,  1.3447,  1.3370,  1.3332,  1.3294,  1.3256,  1.3218,  1.3144,  1.3070,  1.2996,  1.2850,  1.2707
44,  1.3538,  1.3461,  1.3423,  1.3384,  1.3346,  1.3308,  1.3234,  1.3160,  1.3086,  1.2939,  1.2796
45,  1.3630,  1.3553,  1.3515,  1.3476,  1.3437,  1.3399,  1.3325,  1.3251,  1.3177,  1.3029,  1.2886
46,  1.3724,  1.3646,  1.3608,  1.3569,  1.3530,  1.3492,  1.3417,  1.3343,  1.3269,  1.3120,  1.2976
47,  1.3819,  1.3740,  1.3702,  1.3663,  1.3624,  1.3586,  1.3510,  1.3435,  1.3362,  1.3212,  1.3067
48,  1.3915,  1.3835,  1.3797,  1.3758,  1.3719,  1.3680,  1.3604,  1.3528,  1.3455,  1.3305,  1.3159
49,  1.4012,  1.3931,  1.3893,  1.3854,  1.3814,  1.3775,  1.3699,  1.3623,  1.3549,  1.3399,  1.3253
50,  1.4110,  1.4029,  1.3990,  1.3951,  1.3911,  1.3872,  1.3795,  1.3719,  1.3644,  1.3494,  1.3348
51,  1.4209,  1.4128,  1.4088,  1.4049,  1.4009,  1.3970,  1.3893,  1.3816,  1.3740,  1.3590,  1.3444
52,  1.4310,  1.4228,  1.4188,  1.4148,  1.4109,  1.4069,  1.3991,  1.3914,  1.3837,  1.3687,  1.3540
53,  1.4412,  1.4329,  1.4289,  1.4248,  1.4209,  1.4169,  1.4091,  1.4013,  1.3936,  1.3785,  1.3637
54,  1.4515,  1.4431,  1.4391,  1.4350,  1.4310,  1.4270,  1.4191,  1.4113,  1.4036,  1.3884,  1.3735
55,  1.4619,  1.4535,  1.4494,  1.4453,  1.4412,  1.4372,  1.4293,  1.4214,  1.4137,  1.3984,  1.3834
56,  1.4724,  1.4640,  1.4598,  1.4557,  1.4516,  1.4475,  1.4396,  1.4317,  1.4239,  1.4085,  1.3934
57,  1.4830,  1.4746,  1.4703,  1.4662,  1.4621,  1.4580,  1.4500,  1.4420,  1.4342,  1.4187,  1.4035
58,  1.4937,  1.4852,  1.4809,  1.4768,  1.4726,  1.4685,  1.4604,  1.4524,  1.4446,  1.4290,  1.4137
59,  1.5045,  1.4959,  1.4916,  1.4875,  1.4832,  1.4791,  1.4709,  1.4629,  1.4551,  1.4393,  1.4240
60,  1.5154,  1.5067,  1.5024,  1.4983,  1.4940,  1.4898,  1.4816,  1.4735,  1.4656,  1.4497,  1.4344
61,  1.5264,  1.5177,  1.5133,  1.5091,  1.5048,  1.5006,  1.4923,  1.4842,  1.4762,  1.4602,  1.4449
62,  1.5375,  1.5287,  1.5243,  1.5200,  1.5157,  1.5115,  1.5031,  1.4950,  1.4869,  1.4708,  1.4554
63,  1.5487,  1.5398,  1.5354,  1.5310,  1.5267,  1.5225,  1.5140,  1.5058,  1.4977,  1.4815,  1.4660
64,  1.5600,  1.5510,  1.5465,  1.5421,  1.5378,  1.5335,  1.5250,  1.5167,  1.5086,  1.4923,  1.4766
65,  1.5714,  1.5623,  1.5578,  1.5533,  1.5490,  1.5446,  1.5361,  1.5277,  1.5195,  1.5031,  1.4873
66,  1.5828,  1.5736,  1.5691,  1.5646,  1.5602,  1.5558,  1.5472,  1.5388,  1.5305,  1.5140,  1.4981
67,  1.5943,  1.5850,  1.5805,  1.5760,  1.5715,  1.5671,  1.5584,  1.5499,  1.5416,  1.5249,  1.5089
68,  1.6059,  1.5965,  1.5920,  1.5874,  1.5829,  1.5785,  1.5697,  1.5611,  1.5528,  1.5359,  1.5198
69,  1.6176,  1.6081,  1.6035,  1.5989,  1.5944,  1.5899,  1.5811,  1.5724,  1.5640,  1.5470,  1.5307
70,  1.6293,  1.6198,  1.6151,  1.6105,  1.6059,  1.6014,  1.5925,  1.5838,  1.5753,  1.5582,  1.5417
71,  1.6411,  1.6315,  1.6268,  1.6221,  1.6175,  1.6130,  1.6040,  1.5952,  1.5867,  1.5694,  1.5527
72,  1.6529,  1.6433,  1.6385,  1.6338,  1.6292,  1.6246,  1.6155,  1.6067,  1.5981,  1.5806,  1.5637
73,  1.6648,  1.6551,  1.6503,  1.6456,  1.6409,  1.6363,  1.6271,  1.6182,  1.6095,  1.5919,  1.5747
74,  1.6768,  1.6670,  1.6622,  1.6574,  1.6526,  1.6480,  1.6387,  1.6297,  1.6209,  1.6031,  1.5857
