### Data "The Viscosities of Mixtures of Sulfuric Acid and Water"
### F. H. Rhodes and C. B. Barbour
### Industrial & Engineering Chemistry 1923 15 (8), 850-852
### DOI: 10.1021/ie50164a033
### 
### Measured Densities (g/cc) at 0, 25, 50 and 75 deg C
### 
###
"%H2SO4", "0C",      "25C",    "50C",    "75C"
0.00,   0.999,     0.997,    0.988,    0.974 
5.00,   1.038,     1.033,    1.028,    1.023 
9.39,   1.068,     1.061,    1.054,    1.045 
13.42,  1.100,     1.091,    1.078,    1.065 # Typo in 25deg column 1.061 -> 1.091
17.42,  1.132,     1.120,    1.105,    1.098 
20.34,  1.155,     1.139,    1.124,    1.109 
24.10,  1.184,     1.168,    1.152,    1.136 
29.80,  1.230,     1.213,    1.196,    1.178 
39.70,  1.316,     1.300,    1.280,    1.262 
51.20,  1.423,     1.404,    1.386,    1.367  
62.60,  1.543,     1.522,    1.501,    1.481 
70.90,  1.640,     1.618,    1.596,    1.574 
78.20,  1.727,     1.703,    1.679,    1.654 
81.40,   NaN,      1.739,    1.714,    1.689 
83.50,   NaN,      1.760,    1.734,    1.709 
87.50,  1.820,     1.795,    1.770,    1.744 
90.30,  1.838,     1.813,    1.788,    1.764 
94.75,  1.855,     1.831,    1.807,    1.782 
98.30,  1.858,     1.835,    1.811,    1.788 
99.60,   NaN,      1.832,    1.808,    1.785 
#
# Typos in 51.2% row: 
#     0C column 1.523 -> 1.423
#     25C column 1.504 -> 1.404
#     50C column 1.486 -> 1.386 
#     75C column 1.467 -> 1.367
#
# NaN are for conditions where the mixture froze to give a solid.
