### Data from table 3 of 
###
### "The D0 acidity function in deuterium sulphate solutions at 25 °C"
### J. Sierra, M. Ojeda and P. A. H. Wyatt
### J. Chem. Soc. B, 1970, 1570-1573
### https://doi.org/10.1039/J29700001570
### 
### D0 Values (H) for D2SO4/D2O mixtures
###
### Note: The paper contains reported pKa values for BH+ and BD+ for aniline indicators
### Note: Authors compare to H0 data in Margaret J. Jorgenson and Donald R. Hartter 1963 10.1021/ja00890a009
###
### Temp = 25.0 deg C
###
"% w/w H2SO4", "D0"
8,            -0.30
9,            -0.37
10,           -0.44
11,           -0.51
12,           -0.59
13,           -0.66
14,           -0.73
15,           -0.80
16,           -0.87
17,           -0.94
18,           -1.02
19,           -1.09
20,           -1.16
21,           -1.23
22,           -1.30
23,           -1.37
24,           -1.44
25,           -1.50
26,           -1.57
27,           -1.65
28,           -1.73
29,           -1.80
30,           -1.88
31,           -1.96
32,           -2.04
33,           -2.12
34,           -2.20
35,           -2.28
36,           -2.37
37,           -2.46
38,           -2.55
39,           -2.63
30,           -2.72
41,           -2.81
42,           -2.90
43,           -2.99
44,           -3.08
45,           -3.16
46,           -3.24
47,           -3.32
48,           -3.40
49,           -3.49
50,           -3.58
51,           -3.68
52,           -3.78
53,           -3.89
54,           -3.99
55,           -4.02
56,           -4.22
57,           -4.34
58,           -4.47
59,           -4.60
60,           -4.72
61,           -4.84
62,           -4.97
63,           -5.11
64,           -5.27
65,           -5.42
66,           -5.56
67,           -5.71
68,           -5.86
69,           -6.00
70,           -6.15
71,           -6.30
72,           -6.47
73,           -6.62
74,           -6.77
75,           -6.92
76,           -7.09
77,           -7.24
78,           -7.39
79,           -7.54
80,           -7.68
81,           -7.82
82,           -7.97
83,           -8.10
84,           -8.25
85,           -8.39
86,           -8.52
87,           -8.65
88,           -8.79
89,           -8.92
90,           -9.05
91,           -9.19
92,           -9.32
93,           -9.46
94,           -9.59
95,           -9.72
96,           -9.85
97,           -9.99
97.04,       -10.02
97.61,       -10.12
97.99,       -10.21
98.23,       -10.26
98.38,       -10.29
98.59,       -10.36
98.83,       -10.45
99.04,       -10.51
99.22,       -10.60
99.49,       -10.77
99.63,       -10.86
