### Data from Figure 3 of 
###
### "Mechanisms of ester hydrolysis in aqueous sulfuric acids"
### Keith. Yates and Robert A. McClelland
### Journal of the American Chemical Society 1967 89 (11), 2686-2692
### https://doi.org/10.1021/ja00987a033
### mcclelland-yates-2002-mechanisms-of-ester-hydrolysis-in-aqueous-sulfuric-acids.pdf
###
### rates of hydrolysis of various esters
### in various sulfuric acid mixtures
###
### Data for Methyl Acetate
### Temp = 25.0 deg C
### x is log % H2SO4
### y is 10^2 kobs (min^-1)
###
"%H2SO4",     "10^2kobs"
14.48,       1.52     
20.98,       2.65     
28.49,       4.23     
35.01,       6.40     
40.91,       8.15     
45.82,       10.37   
55.79,       13.30   
60.65,       13.81   
65.45,       11.92   
70.99,       7.25     
74.53,       3.57     
80.33,       0.91     
90.02,       0.72     
95.69,       1.38     
99.13,       1.44     
