# Scanned Data from Figure 25B of
# from "Frank J. Zeleznik; Thermodynamic Properties of the Aqueous Sulfuric Acid System to 350 K." 
# J. Phys. Chem. Ref. Data 1 November 1991; 20 (6): 1157–1200. https://doi.org/10.1063/1.555899
# 
# Compare to Table 8 in the paper
# This is scanned data from Zeleznicks version of the calculations
# x is mole fraction of H2SO4
# u_r is relative chemical potential/RT. (u_r/RT)
# T = 25 degC 
#
"x","u_r"
0.03702955,0.101075005
0.05554252,0.175978803
0.075903719,0.299795684
0.090111449,0.38626449
0.101815018,0.497252926
0.115320999,0.616408341
0.127924961,0.742453044
0.14052872,0.871240941
0.153132073,1.005515228
0.165734105,1.157620278
0.178335019,1.324812897
0.190934511,1.511207877
0.203534511,1.690744871
0.216134613,1.868910268
0.228735121,2.041589276
0.241335019,2.222497867
0.253933698,2.419865625
0.266532987,2.609003799
0.279131666,2.806371557
0.291730751,2.998252926
0.304328008,3.214823044
0.316925163,3.43276476
0.329522928,3.642476892
0.339257306,3.808018515
0.349705078,3.981452737
0.358949831,4.177285559
0.368196389,4.348752085
0.375591108,4.52003812
0.388535929,4.764964515
0.401480749,5.009890911
0.417693745,5.293204288
0.430287367,5.558831866
0.442882887,5.798856297
0.455476496,6.064666755
0.468072026,6.304554026
0.480666996,6.551985082
0.493261357,6.807645721
0.505856481,7.05301938
0.518451807,7.295649846
0.531047641,7.531422325
0.543644491,7.753478833
0.556241139,7.978278534
0.568837786,8.203078236
0.581435347,8.415533563
0.594033214,8.623874098
0.606631689,8.823985051
0.619229251,9.036440377
0.631827117,9.244780913
0.644427524,9.418831518
0.657028336,9.587395734
0.669629454,9.751845159
0.682231791,9.899835418
0.694833721,10.05331206
0.707437683,10.17935677
0.720041747,10.30402987
0.732645506,10.43281777
0.745248656,10.56983525
0.757853532,10.68353558
0.770459425,10.78351994
0.783064099,10.89996346
0.795669179,11.01092059
0.808274157,11.12324932
0.820878526,11.24380764
0.833482081,11.37533873
0.846084317,11.52470059
0.857541511,11.65215753
0.866718167,11.80474836
0.876892449,11.95193884
0.887064926,12.12349561
0.897235599,12.31941867
0.906480352,12.5152515
0.913651125,12.69029405
0.919417952,12.85764308
0.925667871,13.00378021
0.932353748,13.22440095
0.937103355,13.42433223
0.941587672,13.56643155
0.946254608,13.72207424
0.9508234,13.88409585
0.954828215,14.07806304
0.957279566,14.22585571
0.960538261,14.39222774
0.964661651,14.56770581
0.968349084,14.78736346
0.972040127,14.95828851
0.974803445,15.15348961
0.977566764,15.34869072
0.979942105,15.59962444
0.982162067,15.81210157
0.984954978,16.03765569
0.98583506,16.22668958
