# Scanned Data from Figure 25B of
# from "Frank J. Zeleznik; Thermodynamic Properties of the Aqueous Sulfuric Acid System to 350 K." 
# J. Phys. Chem. Ref. Data 1 November 1991; 20 (6): 1157–1200. https://doi.org/10.1063/1.555899
# 
# This is scanned data from Giauque presented in the same figure.
# x is mole fraction of H2SO4
# u_r is relative chemical potential/RT. (u_r/RT)
# T = 25 degC 
#
x,u_r
0.03702955,0.101075005
0.05554252,0.175978803
0.075903719,0.299795684
0.090111449,0.38626449
0.101815018,0.497252926
0.115320999,0.616408341
0.127924961,0.742453044
0.14052872,0.871240941
0.153132073,1.005515228
0.165734105,1.157620278
0.178335019,1.324812897
0.190934511,1.511207877
0.203534511,1.690744871
0.216134613,1.868910268
0.228735121,2.041589276
0.241335019,2.222497867
0.253933698,2.419865625
0.266532987,2.609003799
0.279131666,2.806371557
0.291730751,2.998252926
0.304328008,3.214823044
0.316925163,3.43276476
0.329522928,3.642476892
0.338608486,3.785439424
0.348779158,3.981362491
0.35987575,4.177375804
0.375594718,4.471305528
0.38669131,4.667318841
0.397787901,4.863332154
0.407036264,5.010432384
0.415358708,5.157442369
0.424607071,5.3045426
0.433853629,5.476009126
0.444026106,5.647565897
0.454196779,5.843488965
0.46529337,6.039502278
0.478239995,6.260062378
0.490260701,6.480532232
0.502283212,6.676635791
0.515231642,6.872829595
0.525405924,7.020020071
0.532804254,7.142573514
0.540202583,7.265126957
0.554076933,7.461411007
0.567949477,7.682061353
0.579973793,7.853798615
0.590148075,8.000989091
0.604022424,8.197273141
0.616048545,8.344644108
0.625296908,8.491744338
0.641023096,8.688208879
0.656749283,8.884673419
0.673399586,9.105594502
0.690975807,9.326605829
0.7067038,9.498704074
0.723355907,9.69525886
0.740008014,9.891813647
0.755732397,10.11264448
0.767758517,10.26001545
0.781632867,10.4562995
0.793657182,10.62803676
0.810307485,10.84895784
0.82325772,11.02078535
0.834356116,11.19243237
0.847304546,11.38862617
0.858402943,11.56027319
0.869501339,11.73192021
0.879672012,11.92784328
0.888916765,12.1236761
0.897235599,12.31941867
0.906480352,12.5152515
0.913651125,12.69029405
0.919417952,12.85764308
0.930507324,13.15112157
0.94344312,13.51787945
0.953602963,13.86000029
0.960062739,14.15302756
0.967443019,14.51924396
0.972969656,14.90964617
0.977566764,15.34869072
0.979942105,15.59962444
0.982162067,15.81210157
0.984954978,16.03765569
0.98583506,16.22668958
0.989488199,16.90930684
0.99220098,17.78676423
0.994005891,18.42046841
0.994901127,18.83478568
0.995715142,20.34558627
