#
# Robin A. Cox
# Excess acidities
# Advances in Physical Organic Chemistry
# Academic Press
# Volume 35
# 2000
# Pages 1-66
# https://doi.org/10.1016/S0065-3160(00)35011-0
# cox2000.pdf
#
# From table 5 of the paper
# Concentration of H2SO4 is in molality (moles per kg of water)
# X is the excess acidity
# C_H+ is the concentration of H+ (solvated by water) in mol/L
# aH2O is the activity of water expressed as mol/L
# C_HSO4- is the concentration of HSO4- in mol/L
# C_H2SO4 is the concentration of H2SO4 in mol/L
#
#
"conc H2SO4 / (mole/L)", "X",   "log C_H+", "log aH2O", "log C_HSO4-", "log C_H2SO4"
0.01,      0.002,    -1.803,     1.742,    -2.372,     NaN
0.10,      0.018,    -0.907,     1.734,    -1.119,     NaN
0.25,      0.047,    -0.527,     1.722,    -0.693,     NaN
0.50,      0.097,    -0.228,     1.701,    -0.389,     NaN
0.75,      0.152,    -0.048,     1.681,    -0.219,     NaN
1.00,      0.210,     0.080,     1.661,    -0.100,     NaN
1.50,      0.337,     0.263,     1.619,     0.066,     NaN
2.00,      0.477,     0.393,     1.575,     0.182,     NaN
2.50,      0.628,     0.494,     1.530,     0.272,     NaN
3.00,      0.789,     0.577,     1.481,     0.346,     NaN
3.50,      0.960,     0.646,     1.430,     0.409,     -7.788
4.00,      1.137,     0.705,     1.375,     0.464,     -7.419
4.50,      1.321,     0.757,     1.316,     0.515,     -7.056
5.00,      1.509,     0.802,     1.253,     0.561,     -6.697
5.50,      1.702,     0.843,     1.186,     0.604,     -6.344
6.00,      1.899,     0.879,     1.115,     0.645,     -5.993
6.50,      2.099,     0.911,     1.038,     0.683,     -5.648
7.00,      2.302,     0.941,     0.956,     0.720,     -5.305
7.50,      2.509,     0.967,     0.869,     0.756,     -4.966
8.00,      2.721,     0.992,     0.775,     0.790,     -4.629
8.50,      2.940,     1.014,     0.675,     0.823,     -4.295
9.00,      3.166,     1.034,     0.567,     0.855,     -3.962
9.50,      3.402,     1.052,     0.451,     0.886,     -3.630
10.00,     3.649,     1.069,     0.326,     0.916,     -3.298
10.50,     3.909,     1.085,     0.190,     0.945,     -2.967
11.00,     4.182,     1.099,     0.043,     0.973,     -2.637
11.50,     4.470,     1.112,    -0.116,     1.000,     -2.307
12.00,     4.771,     1.125,    -0.288,     1.026,     -1.978
12.50,     5.086,     1.136,    -0.476,     1.051,     -1.651
13.00,     5.414,     1.146,    -0.680,     1.074,     -1.326
13.50,     5.753,     1.155,    -0.904,     1.096,     -1.004
14.00,     6.100,     1.162,    -1.148,     1.115,     -0.127
14.50,     6.453,     1.165,    -1.415,     1.129,     -0.375
15.00,     6.810,     1.162,    -1.708,     1.137,     -0.072
15.50,     7.168,     1.148,    -2.030,     1.133,      0.218
16.00,     7.528,     1.114,    -2.381,     1.070,      0.488
16.50,     7.889,     1.047,    -2.755,     1.047,      0.726
17.00,     8.267,     0.942,    -3.131,     0.942,      0.915
17.50,     8.711,     0.809,    -3.483,     0.809,      1.043
18.00,     9.376,     0.666,    -3.842,     0.666,      1.125
18.50,    10.780,     0.133,    -4.925,     0.133,      1.233
