### Data from table 1 of 
###
### "The Thermodynamic Properties of Aqueous Sulfuric Acid Solutions and Hydrates from 15 to 300 K."
### W. F. Giauque, E. W. Hornung, J. E. Kunzler, and T. R. Rubin
### Journal of the American Chemical Society 1960 82 (1), 62-70
### DOI: 10.1021/ja01486a014
### 
### a_H2O values determined with isopiestic method (fractionalo vapour pressure)
### a_H2O = activity coefficient * mole fraction
### https://en.wikipedia.org/wiki/Water_activity
###
### Activity coefficient of water in sulfuric acid
###
### Temp = 25.0 deg C
### Concentrations in molal H2SO4 (mole H2SO4 per kg of solvent)
###
### Correction: a_H2O for c=1000 is reported as 1.50E-7. It clearly should be 1.50E-6
### gamma_H2SO4 is activity coefficient for H2SO4. Does it track with H_0?
###
### Note: a_H2O is "apparent mole fraction of water". gamma_H2O = a_H2O/X_H2O where X_H2O is actual mole fraction.
### Note: "%H2SO4" and "mole fraction" were calculated from the "conc H2SO4 / m" value.
###
"conc H2SO4 / m", "aH2O",   "gamma_H2SO4",     "%H2SO4",                   "mole fraction"
   1,              9.622E-1,  0.13,            8.93195395599592,            0.01768172888015717
   2,              9.130E-1,  0.1253,         16.399143927233816,           0.03474903474903475
   3,              8.514E-1,  0.1411,         22.734577821733218,           0.051233396584440226
   4,              7.800E-1,  0.1683,         28.1774304757527,             0.06716417910447761
   5,              7.035E-1,  0.2062,         32.90391841116478,            0.08256880733944955
   6,              6.257E-1,  0.254,          37.0467365028203,             0.09747292418772563
   7,              5.503E-1,  0.315,          40.707712740726684,           0.11190053285968028
   8,              4.806E-1,  0.385,          43.96629012013628,            0.12587412587412586
   9,              4.175E-1,  0.464,          46.88535735531572,            0.13941480206540446
  10,              3.611E-1,  0.555,          49.515347334410336,           0.15254237288135594
  11,              3.113E-1,  0.656,          51.89717540213961,            0.1652754590984975
  12,              2.678E-1,  0.766,          54.06438336028223,            0.17763157894736842
  13,              2.303E-1,  0.884,          56.04472888388775,            0.18962722852512154
  14,              1.980E-1,  1.010,          57.861380798274,              0.2012779552715655
  15,              1.701E-1,  1.143,          59.533829718355456,           0.21259842519685038
  16,              1.462E-1,  1.286,          61.07859011084818,            0.2236024844720497
  17,              1.255E-1,  1.435,          62.50974746565894,            0.2343032159264931
  18,              1.077E-1,  1.593,          63.839389030317065,           0.24471299093655588
  19,              9.233E-2,  1.761,          65.07794602447338,            0.2548435171385991
  20,              7.929E-2,  1.932,          66.2344678552134,             0.2647058823529412
  25,              3.799E-2,  2.842,          71.03128621089225,            0.3103448275862069
  30,              1.937E-2,  3.736,          74.63474025974025,            0.35064935064935066
  35,              1.042E-2,  4.557,          77.44089514528063,            0.38650306748466257
  40,              5.90E-3,   5.28,           79.688007799805,              0.41860465116279066
  45,              3.53E-3,   5.88,           81.52800354662332,            0.4475138121546961
  50,              2.23E-3,   6.33,           83.06233062330624,            0.47368421052631576
  60,              1.05E-3,   6.81,           85.475249825703,              0.5192307692307693
  70,              5.80E-4,   6.91,           87.28641171684296,            0.5575221238938053
  80,              3.61E-4,   6.80,           88.69596672092602,            0.5901639344262296
  90,              2.47E-4,   6.57,           89.8241615109085,             0.6183206106870229
 100,              1.79E-4,   6.30,           90.74759437453737,            0.6428571428571429
 200,              3.20E-5,   3.98,           95.14939852541715,            0.782608695652174
 300,              1.38E-5,   2.83,           96.7131212200894,             0.84375
 400,              7.87E-6,   2.19,           97.51441638496719,            0.8780487804878049
 500,              5.20E-6,   1.78,           98.00159872102319,            0.9
1000,              1.50E-6,   0.92,           98.99071457408155,            0.9473684210526315
1000000000,        1.56E-9,   0,              100.0,                         1
