### Data from table 3 of 
###
### "H0 And Related Indicator Acidity Function"
### M. A. Paul and F. A. Long
### Chemical Reviews 1957 57 (1), 1-45
### DOI: 10.1021/cr50013a001
### 
### Temp = 25.0 deg C
### Concentrations in %wt H2SO4 
###
"%H2SO4",  "H0"
10,         -0.31 
15,         -0.66 
20,         -1.01 
25,         -1.37 
30,         -1.72 
35,         -2.06 
40,         -2.41 
45,         -2.85 
50,         -3.38 
55,         -3.91 
60,         -4.46 
65,         -5.04 
70,         -5.65 
75,         -6.30
80,         -6.97 
85,         -7.66 
90,         -8.27 
95,         -8.86 
96,         -8.98 
97,         -9.14 
98,         -9.36 
99,         -9.74 
99.3,       -9.89 
99.5,      -10.03 
99.7,      -10.22 
99.8,      -10.36 
99.9,      -10.59
100.0,     -11.10
