#Data from
#Review and Analysis of Thermophysical Properties of a Sulfuric Acid–Water Electrolyte
#Laura Oca, Jose Miguel Campillo-Robles, and M. Mounir Bou-Ali
#Journal of Chemical & Engineering Data 2018 63 (9), 3572-3583
#DOI: 10.1021/acs.jced.8b00466
#
#
"%H2SO4", "273.15K", "283.15K", "293.15K", "298.15K", "303.15K", "313.15K", "323.15K", "333.15K"
0.097,    1069.26,   1066.08, 1062.30,  1060.23,  1058.04,  1053.60,  1049.23,  1043.53
0.115,    1085.84,   1082.07, 1077.83,  1075.55,  1073.22,  1068.89,  1063.56,  1058.71
0.137,    1101.81,   1097.50, 1092.86,  1090.39,  1087.86,  1082.60,  1078.45,  1072.65
0.154,    1114.20,   1109.50, 1104.52,  1101.94,  1099.31,  1093.86,  1089.88,  1084.63
0.173,    1128.95,   1123.83, 1118.46,  1115.73,  1112.95,  1107.33,  1101.93,  1095.88
0.192,    1145.91,   1140.32, 1134.59,  1131.69,  1128.88,  1123.78,  1118.59,  1113.22
0.211,    1159.42,   1153.51, 1147.52,  1144.52,  1141.49,  1135.36,  1129.37,  1124.62
0.230,    1177.19,   1170.92, 1164.60,  1161.54,  1158.39,  1152.03,  1148.50,  1140.31
0.241,    1185.57,   1179.14, 1172.69,  1169.48,  1166.27,  1160.54,  1154.05,  1147.47
0.269,    1209.44,   1201.63, 1194.85,  1191.58,  1188.22,  1181.52,  1174.82,  1168.95
0.288,    1224.11,   1217.14, 1210.19,  1206.76,  1203.33,  1196.60,  1189.76,  1183.88
0.307,    1241.05,   1233.47, 1227.15,  1223.63,  1220.11,  1213.75,  1206.84,  1200.67
0.327,    1256.77,   1249.51, 1242.27,  1238.85,  1235.29,  1228.03,  1221.02,  1214.92
0.346,    1272.18,   1264.81, 1257.51,  1253.89,  1250.30,  1243.38,  1236.27,  1230.89
0.365,    1288.04,   1280.59, 1273.21,  1269.57,  1265.95,  1258.73,  1251.57,  1244.45
0.384,    1305.68,   1298.19, 1290.73,  1287.05,  1283.37,  1276.20,  1268.99,  1263.24
0.400,    1319.14,   1311.55, 1304.07,  1300.36,  1296.68,  1289.37,  1282.41,  1275.20
