### Data from table VI of 
###
### "Carbonium Ions. I. An Acidity Function (C0) Derived from Arylcarbonium Ion Equilibria"
### N. C. Deno, J. J. Jaruzelski, and Alan Schriesheim
### Journal of the American Chemical Society 1955 77 (11), 3044-3051
### https://doi.org/10.1021/ja01616a036
### 
### HR values
### in various sulfuric acid mixtures
###
### Temp = 25.0 deg C
### 
"%H2SO4", "HR"
0.5,         1.25
1.0,         0.92
2.0,         0.62
3.0,         0.37
4.0,         0.13
5.0,         -0.07
6.0,         -0.23
7.0,         -0.36
8.0,         -0.48
10.0,        -0.72
15.0,        -1.32
20.0,        -1.92
25.0,        -2.55
30.0,        -3.22
35.0,        -4.00
40.0,        -4.80
45.0,        -5.65
50.0,        -6.60
52.0,        -7.01
54.0,        -7.44
56.0,        -7.90
58.0,        -8.40
60.0,        -8.92
70.0,        -11.52
80.0,        -14.12
90.0,        -16.72
92.0,        -17.24
93.0,        -17.51
94.0,        -17.78
95.0,        -18.08
96.0,        -18.45
97.0,        -18.94
98.0,        -19.64
