### Data from table 1 of 
###
### "Mechanisms of ester hydrolysis in aqueous sulfuric acids"
### Keith. Yates and Robert A. McClelland
### Journal of the American Chemical Society 1967 89 (11), 2686-2692
### https://doi.org/10.1021/ja00987a033
### mcclelland-yates-2002-mechanisms-of-ester-hydrolysis-in-aqueous-sulfuric-acids.pdf
### ja00987a033_Yates.pdf
###
### rates of hydrolysis of various esters
### in various sulfuric acid mixtures
###
### Temp = 25.0 deg C
### kobs units are (/ 10-2 min-1)
###
### NOTE: Values for MeOAc where %H2SO4 > 80.0% are digitized from figure #1. 
###       
### NOTE: values for EtOac from...
### "The Hydrolysis of Ethyl Acetate in Concentrated Aqueous Sulphuric Acid." D. Jaques, J. Chem. Soc. 1965, 3854–3904. https://doi.org/10.1039/JR9650003854.
### and "The Kinetics of Ester Hydrolysis in Concentrated Aqueous Acids." R.P. Bell, A.L. Dowding, J.A. Noble, J. Chem. Soc. 1955, 3106–3110. https://doi.org/10.1039/JR9550003106.
###
###
###
"Ester", "%H2SO4",  "kobs"
MeOAc,       14.1,          1.50
MeOAc,       20.7,          2.61
MeOAc,       28.3,          4.22
MeOAc,       34.8,          6.41
MeOAc,       40.4,          8.14
MeOAc,       45.4,         10.4
MeOAc,       50.2,         11.4
MeOAc,       55.2,         13.3
MeOAc,       60.4,         13.8
MeOAc,       65.2,         11.9
MeOAc,       70.4,          7.25
MeOAc,       74.1,          3.83
MeOAc,       80.0,          0.931
MeOAc,       89.7,         0.72    # Digitized Data - Used concentrations from nPrOAc that matched      
MeOAc,       95.0,         1.38    # Digitized Data - Used concentrations from nPrOAc that matched        
MeOAc,       98.6,         1.44    # Digitized Data - Used concentrations from nPrOAc that matched        
EtOAc,       12.2,          1.128  # From Lane/Bell/Jaques
EtOAc,       16.4,          1.854  # From Lane/Bell/Jaques
EtOAc,       23.9,          3.366  # From Lane/Bell/Jaques
EtOAc,       25.5,          3.93   # From Lane/Bell/Jaques
EtOAc,       29.4,          4.782  # From Lane/Bell/Jaques
EtOAc,       33.43,         6.24   # From Lane/Bell/Jaques
EtOAc,       36.67,         7.68   # From Lane/Bell/Jaques
EtOAc,       43.56,         9.96   # From Lane/Bell/Jaques
EtOAc,       47,           10.71   # From Lane/Bell/Jaques
EtOAc,       48,           11.52   # From Lane/Bell/Jaques
EtOAc,       51.55,        11.16   # From Lane/Bell/Jaques
EtOAc,       55.6,         11.82   # From Lane/Bell/Jaques
EtOAc,       56.25,        11.04   # From Lane/Bell/Jaques
EtOAc,       59.18,        11.04   # From Lane/Bell/Jaques
EtOAc,       59.88,        10.98   # From Lane/Bell/Jaques
EtOAc,       61.0,         10.0    # From Lane/Bell/Jaques
EtOAc,       65.0,          8.91   # From Lane/Bell/Jaques
EtOAc,       66.32,         7.26   # From Lane/Bell/Jaques
EtOAc,       68.97,         5.418  # From Lane/Bell/Jaques
EtOAc,       69.88,         5.418  # From Lane/Bell/Jaques
EtOAc,       71.4,          3.77   # From Lane/Bell/Jaques
EtOAc,       73.55,         2.664  # From Lane/Bell/Jaques
EtOAc,       75.4,          2.94   # From Lane/Bell/Jaques
EtOAc,       78.8,          0.551 # From Lane/Bell/Jaques
EtOAc,       80.2,          0.392  # From Lane/Bell/Jaques
EtOAc,       84.4,          0.188  # From Lane/Bell/Jaques
EtOAc,       90.0,          0.305  # From Lane/Bell/Jaques
EtOAc,       98.4,          0.656  # From Lane/Bell/Jaques
EtOAc,       100.0,         0.746  # From Lane/Bell/Jaques
nPrOAc,      14.1,          1.47
nPrOAc,      20.7,          2.52
nPrOAc,      30.2,          5.23
nPrOAc,      34.8,          6.78
nPrOAc,      40.4,          8.47
nPrOAc,      45.4,          9.76
nPrOAc,      50.2,         11.4
nPrOAc,      55.2,         11.5
nPrOAc,      60.4,         10.4
nPrOAc,      65.2,          8.23
nPrOAc,      70.4,          4.48
nPrOAc,      74.1,          2.20
nPrOAc,      89.7,          0.205
nPrOAc,      95.0,          0.323
nPrOAc,      98.6,          0.450
iPrOAc,      14.1,          0.890
iPrOAc,      25.3,          1.99
iPrOAc,      34.8,          3.30
iPrOAc,      40.4,          4.21
iPrOAc,      45.4,          4.96
iPrOAc,      50.2,          5.38
iPrOAc,      55.2,          5.48
iPrOAc,      60.4,          4.54
iPrOAc,      65.2,          3.60
iPrOAc,      70.4,          1.80
iPrOAc,      74.1,          1.14
iPrOAc,      80.0,          1.48
iPrOAc,      81.7,          2.30
iPrOAc,      84.7,          4.69
iPrOAc,      88.2,         11.2
iPrOAc,      89.7,         13.5
iPrOAc,      90.8,         17.0
secBuOAc,    14.1,          0.964
secBuOAc,    45.4,          4.72
secBuOAc,    50.2,          5.00
secBuOAc,    55.2,          5.02
secBuOAc,    60.4,          3.96
secBuOAc,    65.2,          2.99
secBuOAc,    70.4,          1.71
secBuOAc,    74.1,          2.03
secBuOAc,    77.7,          3.90
secBuOAc,    80.0,          7.00
secBuOAc,    81.7,         11.00
secBuOAc,    84.7,         23.6
secBuOAc,    88.2,         63.2
BnOAc,       10.1,          0.74
BnOAc,       25.3,          2.52
BnOAc,       30.2,          4.04
BnOAc,       34.8,          4.61
BnOAc,       40.4,          6.08
BnOAc,       45.4,          7.13
BnOAc,       50.2,          9.81
BnOAc,       52.8,          9.30
BnOAc,       55.2,          9.91
BnOAc,       60.4,          8.52
BnOAc,       62.5,          9.24
BnOAc,       65.2,         10.1
BnOAc,       66.8,         13.7
BnOAc,       67.3,         15.7
BnOAc,       69.0,         22.3
PhOAc,       15.1,          1.08
PhOAc,       20.1,          1.62
PhOAc,       25.3,          2.38
